UGI_Code,UGI_Class,Total_Class_Cells,High_Very_High_Cells,High_Very_High_Area_ha,High_Very_High_Area_km2,Percent_of_UGI_Class_High_Very_High,Share_of_All_High_Very_High_Area_Percent
1,Water,8279,6,0.06,0.0006,0.07247252083584974,0.0029658629178159384
2,Dense Urban Forest,82888,0,0.0,0.0,0.0,0.0
3,Urban Woodland,12550,20,0.2,0.002,0.1593625498007968,0.009886209726053129
4,Healthy Green Space,66163,2693,26.93,0.2693,4.070250744373744,1.3311781396130538
5,Stressed Green Space,162,0,0.0,0.0,0.0,0.0
6,Built-up,214260,199552,1995.52,19.9552,93.13544291981705,98.64064616266771
7,Bare Surface,139,31,0.31,0.0031,22.302158273381295,0.01532362507538235
