Dataset,Valid_Cells,Area_ha,Area_km2,Minimum,P05,P25,Median,Mean,P75,P95,Maximum,Standard_Deviation
Ecosystem Service Capacity,388872,3888.72,38.8872,5.0,5.0,5.0,5.0,36.71031823462167,64.89773559570312,95.88799896240235,98.75,37.126030671777265
Ecosystem Service Demand,384441,3844.41,38.4441,0.00042759921052493155,0.007637673523277044,0.05269937962293625,0.4056316018104553,0.37870087304944067,0.6297932267189026,0.8534061908721924,1.0,0.2978427084545114
Ecosystem Service Deficit,388798,3887.98,38.8798,9.875143587123603e-05,0.026984626613557338,0.1963958889245987,0.6853028535842896,0.5135338983073144,0.8078503310680389,0.9237387180328369,1.0,0.3344995672299362
