Priority_Class,Priority_Label,Pixels,Area_ha,Area_km2,Percent_of_BoundaryMasked_Area,Deficit_Min,Deficit_Median,Deficit_Mean,Deficit_Max
1,Very Low,77516,775.16,7.751600000000001,19.933551399946516,0.0,1.0148817750632588e-06,0.0017521332460096,0.0112070320174098
2,Low,77494,774.94,7.7494,19.927894011397065,0.0112072080373764,0.0975598432123661,0.10364845071869,0.2101919949054718
3,Moderate,77633,776.33,7.7633,19.963638420868563,0.2101921141147613,0.3505250215530395,0.3888061332540713,0.6236962676048279
4,High,78075,780.75,7.8075,20.077300499907423,0.6237007975578308,0.7191483378410339,0.7128693881349384,0.7785210013389587
5,Very High,78154,781.54,7.8154,20.097615667880437,0.7785213589668274,0.8393654227256775,0.8422435533206624,0.918403685092926
