UGI Class,Very Low,Low,Moderate,High,Very High
Water,1.2220340702474501,0.7608449671080868,0.16907665935735264,0.0015607076248371013,0.0
Dense Urban Forest,21.46051019532256,0.07699490949196365,0.023150496435083667,0.0,0.0
Urban Woodland,3.0774553182412907,0.14072380417281197,0.041098634120710326,0.004682122874511303,0.0005202358749457004
Healthy Green Space,5.56158162110701,7.03098784989114,3.9171160204036513,0.5683576933781777,0.1321399122362079
Stressed Green Space,0.0036416511246199026,0.019248727372990913,0.019248727372990913,0.0,0.0
Built-up,0.11185071311332559,0.29887551015630487,3.4150884010810505,20.595097817350386,31.311956841231815
Bare Surface,0.0007803538124185506,0.0010404717498914008,0.026271911684757867,0.0002601179374728502,0.007803538124185505
